"Title","SJR","H index","Total Docs. (2017)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","Impact Factor"
"International Journal of Mobile Communications",665,37,32,99,1614,196,99,2.15,50.44,1.742
"IEEE Transactions on Very Large Scale Integration (VLSI) Systems",447,92,385,943,10036,2230,938,2.2,26.07,1.744
"Journal of the ACM",1208,114,55,140,2193,485,126,3.61,39.87,1.744
"Journal of Network and Systems Management",264,28,45,105,1521,174,100,2.28,33.8,1.75
"Requirements Engineering",568,45,41,73,1332,209,65,3.07,32.49,1.75
"ACM Transactions on Computer Systems",1438,64,11,163,616,1370,161,4.26,56,1.76
"International Journal of Approximate Reasoning",866,81,193,318,7533,886,303,2.21,39.03,1.766
"Digital Investigation",635,39,58,187,1768,471,168,2.66,30.48,1.771
"Computer Speech and Language",539,58,94,199,4505,600,191,2.88,47.93,1.776
"Performance Evaluation",459,57,53,149,1698,251,144,1.8,32.04,1.786
"International Journal of Distributed Sensor Networks",255,31,316,1684,9410,2215,1572,1.46,29.78,1.787
"Neural Processing Letters",510,43,222,203,4525,404,196,1.95,20.38,1.787
"Modelling and Simulation in Materials Science and Engineering",821,64,138,393,6183,706,388,1.77,44.8,1.793
"Journal of Computing in Civil Engineering",697,59,96,335,4292,690,318,2.07,44.71,1.798
"Automated Software Engineering",317,39,36,64,1440,132,55,1.63,40,1.806
"Journal of Scientific Computing",1675,59,265,510,7494,985,502,1.7,28.28,1.814
"Journal of Parallel and Distributed Computing",502,70,207,312,6051,883,298,2.62,29.23,1.815
"Operational Research",566,13,123,101,1557,134,73,1.94,12.66,1.816
"Ecological Informatics",778,38,87,306,4050,731,294,2.11,46.55,1.82
"IET Biometrics",429,15,55,94,2153,238,90,2.33,39.15,1.836
"Journal of Visual Communication and Image Representation",503,62,191,639,7924,1691,629,2.33,41.49,1.836
"Statistics and Computing",2545,57,122,226,3666,540,222,1.72,30.05,1.851
"Machine Learning",695,129,75,201,2796,495,187,2.27,37.28,1.855
"BioData Mining",982,20,41,118,1622,208,109,1.8,39.56,1.857
"Information and Organization",1202,52,16,34,1383,106,34,3,86.44,1.857
"Journal of Computer Assisted Learning",1397,76,48,134,2324,363,133,2.47,48.42,1.859
"IEEE Transactions on Haptics",536,35,63,160,1878,371,153,2.22,29.81,1.869
"IEEE Transactions on Learning Technologies",783,36,63,107,1992,349,93,2.65,31.62,1.869
"Games for health journal",611,16,47,174,1736,342,161,2.23,36.94,1.876
"Evolutionary Bioinformatics",900,25,25,109,799,172,105,1.65,31.96,1.877
"Information Society",741,68,24,88,1477,160,83,1.61,61.54,1.889
"IEEE Multimedia",417,61,60,142,521,260,130,1.69,8.68,1.898
"IEEE Micro",413,84,79,188,729,450,160,2.38,9.23,1.913
"Photogrammetric Record",863,40,68,94,891,183,65,2.12,13.1,1.917
"Engineering Applications of Computational Fluid Mechanics",762,18,36,131,1265,257,129,2.01,35.14,1.918
"Personal and Ubiquitous Computing",391,73,98,338,2951,902,307,2.75,30.11,1.924
"Journal of Computational Science",509,26,194,372,5671,813,314,2.49,29.23,1.925
"Memetic Computing",692,23,42,75,755,170,60,2.87,17.98,1.925
"Journal of Mathematical Imaging and Vision",724,61,83,252,3492,542,241,1.76,42.07,1.927
"Computer Assisted Language Learning",1343,35,57,133,2356,286,126,1.93,41.33,1.928
"IEEE Internet Computing",379,101,95,258,789,485,232,2.32,8.31,1.929
"Journal of Information Science",674,54,72,185,2513,383,180,2.05,34.9,1.939
"International Journal of Simulation Modelling",711,18,60,160,1426,320,160,2.21,23.77,1.942
"ACM Transactions on Software Engineering and Methodology",494,68,12,88,756,307,81,2.84,63,1.946
"Inverse Problems",1209,94,166,413,5855,784,402,1.91,35.27,1.946
"Engineering with Computers",485,39,110,128,3122,225,122,2.01,28.38,1.951
"IEEE Transactions on Cognitive and Developmental Systems",703,26,69,71,967,189,62,2.68,14.01,1.952
"Pattern Recognition Letters",662,129,335,898,8326,2645,858,2.69,24.85,1.952
"Molecular Informatics",573,59,74,213,3162,396,201,2.02,42.73,1.955
"International Journal of Computer Assisted Radiology and Surgery",614,33,215,492,5735,993,477,1.98,26.67,1.961
"Human-centric Computing and Information Sciences",658,21,41,78,1434,217,77,2.65,34.98,1.967
"Computer Methods in Biomechanics and Biomedical Engineering",579,48,272,745,6272,1009,629,1.77,23.06,1.974
"Wireless Networks",336,79,392,576,6747,1113,547,1.82,17.21,1.981
"Applied Intelligence",600,49,225,366,5570,875,356,2.42,24.76,1.983
"International Journal of Computer Integrated Manufacturing",773,44,110,274,3602,508,263,1.86,32.75,1.995
"International Journal of Computational Intelligence Systems",564,31,68,293,2527,551,288,2.44,37.16,2
"International Journal of Social Robotics",1017,33,54,162,2728,503,152,2.8,50.52,2.009
"International Journal of High Performance Computing Applications",348,54,62,99,1380,185,95,1.62,22.26,2.015
"Fuzzy Optimization and Decision Making",878,44,41,71,601,183,71,2.13,14.66,2.022
"Computer Graphics Forum",597,94,280,792,13154,2069,780,2.51,46.98,2.046
"BMC Systems Biology",1109,67,143,450,7761,1040,446,2.13,54.27,2.05
"Nano Communication Networks",294,25,31,60,1265,126,53,2.23,40.81,2.07
"International Journal of Adaptive Control and Signal Processing",915,56,122,277,4098,681,272,2.26,33.59,2.082
"Telecommunications Policy",787,57,95,245,4231,519,228,2.34,44.54,2.087
"Multidimensional Systems and Signal Processing",494,30,133,139,2749,257,131,1.92,20.67,2.088
"GeoInformatica",479,45,44,87,1235,240,80,3.27,28.07,2.091
"Simulation Modelling Practice and Theory",684,51,98,321,4005,881,313,2.69,40.87,2.092
"Journal of Medical Systems",619,57,206,637,6691,1695,615,2.53,32.48,2.098
"Computers in Biology and Medicine",591,68,289,798,12013,1971,783,2.44,41.57,2.115
"Communications in Applied Mathematics and Computational Science",1186,17,5,22,189,51,22,2.5,37.8,2.125
"Design Studies",941,75,32,114,1619,382,110,3.14,50.59,2.133
"International Journal of Critical Infrastructure Protection",648,24,29,83,833,193,59,3.65,28.72,2.15
"IEEE Transactions on Nanobioscience",566,53,96,286,3733,700,272,2.3,38.89,2.158
"Image and Vision Computing",612,111,117,264,5470,784,247,2.39,46.75,2.159
"Journal of Intelligent Transportation Systems",1288,33,58,118,1311,265,107,2.15,22.6,2.164
"International Journal of Control",1152,99,448,631,6638,1550,608,2.17,14.82,2.173
"Scientometrics",1125,90,396,1100,16745,2973,1016,2.74,42.29,2.173
"SIAM Journal on Optimization",2195,99,105,301,3935,787,301,2.4,37.48,2.183
"International Journal of Systems Science",763,59,339,782,12719,1963,774,2.52,37.52,2.185
"IEEE Transactions on Information Theory",1162,241,562,1432,16418,4735,1424,2.9,29.21,2.187
"Journal of Manufacturing Technology Management",867,56,47,164,3379,426,163,2.76,71.89,2.194
"ReCALL",2813,28,25,65,899,170,57,2.08,35.96,2.206
"BMC Bioinformatics",1479,176,584,1756,21736,4300,1724,2.19,37.22,2.213
"Semantic Web",913,30,55,112,2467,413,102,5.01,44.85,2.224
"Molecular Diversity",494,50,92,215,3448,457,213,2.19,37.48,2.229
"Smart Structures and Systems",591,33,124,397,4607,852,384,2.24,37.15,2.231
"Autonomous Robots",1131,91,108,185,3564,566,177,3.02,33,2.244
"Knowledge and Information Systems",672,52,158,336,6443,869,335,2.65,40.78,2.247
"Finite Elements in Analysis and Design",1129,62,74,292,3039,753,290,2.39,41.07,2.253
"Operations Research",2951,115,103,297,3557,789,287,2.32,34.53,2.263
"International Journal of Bio-Inspired Computation",721,29,49,98,1589,346,95,4.53,32.43,2.266
"Journal of Systems and Software",472,89,225,602,11380,1902,583,3.19,50.58,2.278
"Journal of Machine Learning Research",1271,160,149,881,6956,3952,871,2.67,46.68,2.281
"Quantum Information Processing",708,38,316,790,12619,1842,778,2.41,39.93,2.283
"Topics in Cognitive Science",1004,42,64,164,2670,321,150,2.39,41.72,2.284
"Information Systems Research",3160,135,51,151,3176,555,144,2.67,62.27,2.301
"ACM Transactions on Sensor Networks",457,54,32,155,1870,478,155,3.33,58.44,2.313
"Annual Reviews in Control",824,64,38,108,3496,301,96,2.64,92,2.32
"Optical Materials",592,89,677,1646,24250,3898,1630,2.31,35.82,2.32
"International Journal for Numerical Methods in Biomedical Engineering",1021,48,108,169,5170,454,168,2.27,47.87,2.338
"Multisensory research",834,46,41,94,2058,192,90,2.32,50.2,2.339
"Journal of Computer-Aided Molecular Design",941,87,88,280,4213,750,274,2.29,47.88,2.356
"Soft Computing",593,56,880,817,18950,1697,786,2.04,21.53,2.367
"International Journal of Geographical Information Science",1113,93,132,372,5359,1109,361,2.52,40.6,2.37
"Computer Vision and Image Understanding",717,116,163,427,8014,1464,407,3.3,49.17,2.391
"International Journal of Fuzzy Systems",470,26,152,211,5854,512,208,2.27,38.51,2.396
"International Transactions in Operational Research",1071,41,129,209,2398,335,165,2.2,18.59,2.4
"Eurasip Journal on Wireless Communications and Networking",301,49,219,756,6235,1296,745,1.75,28.47,2.407
"Mechatronics",790,74,100,376,3479,1130,361,2.69,34.79,2.423
"Computers and Electronics in Agriculture",814,85,349,771,12559,2499,769,3.11,35.99,2.427
"Computerized Medical Imaging and Graphics",714,60,54,250,1877,622,232,2.87,34.76,2.435
"Data Mining and Knowledge Discovery",864,83,66,152,2801,581,146,3.81,42.44,2.481
"Journal of Enterprise Information Management",827,48,46,125,3438,443,125,3.48,74.74,2.482
"International Journal of Health Geographics",1385,59,48,132,2472,441,129,2.69,51.5,2.5
"Computer Networks",500,113,298,912,11904,2990,892,3.09,39.95,2.522
"Computational Materials Science",1766,91,561,1979,25189,5060,1945,2.55,44.9,2.53
"Information Systems",805,72,119,279,5589,1036,258,4.12,46.97,2.551
"IEEE Transactions on Human-Machine Systems",603,99,117,235,4911,828,232,3.54,41.97,2.563
"Electronic Commerce Research and Applications",818,60,45,150,2573,461,145,3.26,57.18,2.582
"ACM Transactions on Information and System Security",729,73,0,34,0,150,34,4.71,0,2.591
"IEEE Intelligent Systems",558,105,75,206,947,538,200,2.74,12.63,2.596
"International Journal of Advanced Manufacturing Technology",994,90,2057,3478,60055,9601,3395,2.6,29.2,2.601
"Journal of Building Performance Simulation",957,26,51,109,1660,239,103,1.8,32.55,2.603
"Frontiers in Neurorobotics",455,19,62,54,3520,168,53,3.19,56.77,2.606
"Computer Communications",459,85,214,518,9162,1752,495,3.11,42.81,2.613
"Control Engineering Practice",1069,99,193,509,6800,1724,499,3.11,35.23,2.616
"Cognitive Science",1423,94,187,231,8905,585,228,2.02,47.62,2.617
"Information and Software Technology",581,81,111,377,6981,1495,365,3.84,62.89,2.627
"Robotics and Autonomous Systems",711,94,225,524,9854,1713,504,3.34,43.8,2.638
"Engineering",503,8,57,50,2181,129,42,3.07,38.26,2.667
"Computer Methods and Programs in Biomedicine",786,75,246,635,9284,2147,600,3,37.74,2.674
"Fuzzy Sets and Systems",1138,144,237,686,6434,1922,660,2.91,27.15,2.675
"VLDB Journal",1003,73,46,122,1910,542,117,3.55,41.52,2.689
"International Journal of Machine Learning and Cybernetics",700,26,156,236,6467,543,233,2.29,41.46,2.692
"Chemometrics and Intelligent Laboratory Systems",672,104,195,632,6801,1769,622,2.92,34.88,2.701
"Multibody System Dynamics",949,54,71,157,2082,427,153,2.67,29.32,2.718
"IEEE Communications Letters",589,122,706,1747,8163,5209,1739,2.95,11.56,2.723
"Computational Mechanics",1775,82,182,424,5742,1401,418,2.71,31.55,2.724
"Computational Geosciences",985,51,86,214,3376,579,208,2.89,39.26,2.726
"Journal of Optical Communications and Networking",504,46,167,421,4707,1348,421,3.4,28.19,2.742
"Journal of Management Information Systems",2489,122,46,151,3097,484,130,2.88,67.33,2.744
"International Journal of Digital Earth",728,30,117,180,3799,431,169,2.72,32.47,2.746
"Astronomy and Computing",1597,13,36,142,1177,291,138,2.4,32.69,2.754
"IEEE Transactions on Knowledge and Data Engineering",1133,138,236,718,8614,3870,707,4.46,36.5,2.775
"Biomedical Signal Processing and Control",723,41,225,392,9100,1369,384,3.38,40.44,2.783
"Journal of Process Control",1108,95,108,452,3134,1679,436,3.33,29.02,2.787
"Mechanism and Machine Theory",1301,88,223,595,7066,2041,582,3.38,31.69,2.796
"Journal of Grid Computing",698,43,39,106,1286,388,101,3.33,32.97,2.8
"IEEE Signal Processing Letters",732,112,406,1191,8904,4489,1185,3.53,21.93,2.813
"Engineering Applications of Artificial Intelligence",874,82,213,605,10291,2239,596,3.58,48.31,2.819
"Journal of Memory and Language",1893,125,102,189,6113,578,185,2.7,59.93,2.829
"Journal of the Association for Information Science and Technology",1310,118,227,621,11121,2056,592,3.33,48.99,2.835
"Computers in Industry",1028,84,57,302,2642,1101,297,3.66,46.35,2.85
"IEEE Transactions on Nanotechnology",572,69,164,437,4867,1238,427,3.14,29.68,2.857
"Journal of Computational Physics",2047,205,730,2108,32216,6740,2084,3.04,44.13,2.864
"Structural and Multidisciplinary Optimization",1458,88,302,516,10223,1653,505,2.97,33.85,2.876
"Artificial Intelligence in Medicine",766,72,60,178,2771,533,159,3.63,46.18,2.879
"IEEE Software",449,96,146,337,1083,830,317,2.68,7.42,2.879
"Journal of Biomedical Informatics",1028,76,215,595,10509,2040,559,3.45,48.88,2.882
"ACM Transactions on Mathematical Software",1230,71,36,97,1268,373,97,3.78,35.22,2.905
"International Journal of General Systems",1665,40,44,164,1023,420,149,2.97,23.25,2.931
"Empirical Software Engineering",449,54,143,181,4856,639,170,3.43,33.96,2.933
"IEEE/ACM Transactions on Audio Speech and Language Processing",841,20,191,331,9213,1452,328,4.24,48.24,2.95
"Smart Materials and Structures",1152,124,476,1465,18000,4874,1447,3.01,37.82,2.963
"ACM Transactions on Intelligent Systems and Technology",874,40,81,202,3629,970,195,4.25,44.8,2.973
"Pervasive and Mobile Computing",368,50,198,301,9212,998,278,3.56,46.53,2.974
"EPJ Data Science",943,17,31,85,1526,284,81,3.59,49.23,2.982
"Ocean Modelling",1878,67,107,296,5590,921,292,2.97,52.24,3.013
"IEEE Intelligent Transportation Systems Magazine",816,24,61,52,1424,212,37,15.5,23.34,3.019
"IEEE Pervasive Computing",326,88,58,168,644,376,152,2.36,11.1,3.022
"Artificial Intelligence",880,129,92,215,5290,829,214,3.76,57.5,3.034
"IEEE Transactions on Computers",671,106,206,845,6123,3093,830,3.75,29.72,3.052
"Foundations of Computational Mathematics",2082,44,66,131,1485,400,128,3.23,22.5,3.056
"Communications of the ACM",709,183,301,946,2645,1807,473,3.49,8.79,3.063
"Frontiers in Neuroinformatics",2450,41,71,176,3231,728,166,3.33,45.51,3.074
"IEEE Transactions on Visualization and Computer Graphics",869,110,309,630,10535,2564,592,4.03,34.09,3.078
"Cognitive Psychology",2733,104,36,100,2791,363,99,3.13,77.53,3.104
"IEEE/ACM Transactions on Networking",716,152,274,582,10061,2201,580,3.52,36.72,3.11
"Foundations and Trends in Information Retrieval",1073,23,1,10,167,98,10,7.71,167,3.125
"Computers and Geotechnics",1979,72,267,594,10769,1973,577,3.36,40.33,3.138
"Ad Hoc Networks",530,73,152,549,5534,1937,529,3.62,36.41,3.151
"European Journal of Information Systems",1628,88,43,111,3464,464,107,4.09,80.56,3.197
"Advances in Engineering Software",1159,61,122,384,4657,1495,368,3.37,38.17,3.198
"Information Systems Frontiers",821,51,150,256,5254,812,207,4.02,35.03,3.232
"Neurocomputing",1073,100,1119,4043,40508,15016,3943,3.78,36.2,3.241
"Social Science Computer Review",1229,56,76,142,2378,416,141,3.04,31.29,3.253
"International Journal of Computer-Supported Collaborative Learning",1588,46,21,58,1372,177,48,3.81,65.33,3.273
"IEEE Transactions on Network and Service Management",630,31,87,156,3359,674,153,4.31,38.61,3.286
"IET Control Theory and Applications",1416,91,379,833,13101,3305,824,3.81,34.57,3.296
"Advanced Engineering Informatics",1167,64,78,181,3569,744,174,4.26,45.76,3.358
"International Journal of Intelligent Systems",1072,66,69,175,2127,526,170,3.02,30.83,3.363
"ISA Transactions",1115,54,285,676,9342,2910,662,3.76,32.78,3.37
"Human-Computer Interaction",518,62,34,48,1094,168,45,4.07,32.18,3.379
"Journal of Field Robotics",1450,77,83,157,3001,683,142,4.4,36.16,3.46
"Robotics and Computer-Integrated Manufacturing",1041,72,120,221,3727,901,219,4.19,31.06,3.464
"Signal Processing",940,105,361,1120,12918,4362,1104,3.93,35.78,3.47
"Cognitive Computation",908,28,87,214,3108,801,204,4.19,35.72,3.479
"Journal of Informetrics",2060,54,106,280,4233,982,243,4.15,39.93,3.484
"Computers in Human Behavior",1555,123,714,2187,43028,9855,2142,4.2,60.26,3.536
"IEEE Access",548,36,2846,1187,103146,5232,1168,4.19,36.24,3.557
"Decision Support Systems",1656,115,123,419,6414,1929,406,4.13,52.15,3.565
"IEEE Transactions on Emerging Topics in Computing",658,24,98,150,1598,637,136,3.57,16.31,3.626
"Journal of Materials Processing Technology",1695,143,423,1183,10237,4881,1168,4.03,24.2,3.647
"Integrated Computer-Aided Engineering",665,34,32,82,1713,298,78,4.26,53.53,3.667
"Journal of Intelligent Manufacturing",1179,63,234,399,5850,958,274,3.3,25,3.667
"International Journal of Molecular Sciences",1260,95,2755,5268,207598,20209,5200,3.76,75.35,3.687
"Journal of Manufacturing Systems",1548,47,115,254,4664,1037,248,4.07,40.56,3.699
"Computer Physics Communications",1729,142,314,930,10594,3875,920,3.64,33.74,3.748
"Expert Systems with Applications",1271,145,629,2151,30361,11118,2128,4.84,48.27,3.768
"Telematics and Informatics",1299,42,226,241,10371,1018,233,3.79,45.89,3.789
"Journal of Chemical Information and Modeling",1349,137,284,793,16335,3068,777,3.81,57.52,3.804
"Artificial Intelligence Review",833,58,102,141,2768,597,129,4.06,27.14,3.814
"Electronic Markets",834,21,47,89,1901,258,72,4.42,40.45,3.818
"Swarm and Evolutionary Computation",1053,35,71,130,4323,702,129,5.16,60.89,3.818
"IEEE Journal of Biomedical and Health Informatics",991,94,271,603,7021,2593,579,4.25,25.91,3.85
"Neuroinformatics",1586,48,30,116,1268,382,99,4.38,42.27,3.852
"Journal of Cheminformatics",1203,34,67,200,3272,791,198,3.66,48.84,3.893
"IEEE Circuits and Systems Magazine",545,43,14,59,953,190,46,4.5,68.07,3.933
"IEEE/ASME Transactions on Mechatronics",1537,104,283,790,9338,3941,785,4.71,33,3.936
"PLoS Computational Biology",3097,138,618,1834,32519,8100,1749,4.01,52.62,3.955
"Pattern Recognition",1065,168,426,967,19983,4734,949,4.62,46.91,3.962
"IEEE Transactions on Parallel and Distributed Systems",983,110,305,868,10158,4887,863,4.99,33.3,3.971
"IEEE Transactions on Neural Systems and Rehabilitation Engineering",1152,114,247,376,9481,1922,373,4.4,38.38,3.972
"IEEE Transactions on Multimedia",954,101,299,590,10564,3068,577,5.11,35.33,3.977
"Journal of Network and Computer Applications",784,68,270,694,14668,3532,680,4.98,54.33,3.991
"Journal of Computer-Mediated Communication",2961,96,23,125,1008,733,124,4.43,43.83,4
"International Journal of Robotics Research",2471,128,93,281,3102,1694,268,5.6,33.35,4.047
"IEEE Transactions on Intelligent Transportation Systems",1175,102,430,950,12377,4814,908,4.82,28.78,4.051
"IEEE Transactions on Mobile Computing",820,116,308,627,9583,3067,620,4.58,31.11,4.098
"Computational and Structural Biotechnology Journal",1517,21,54,159,4432,618,156,4.62,82.07,4.148
"IEEE Transactions on Signal Processing",1247,220,510,1492,19378,8305,1484,4.91,38,4.203
"IEEE Transactions on Robotics",1822,121,120,377,3765,2269,374,5.86,31.38,4.264
"Information Systems Journal",1752,74,44,86,2306,350,67,4.11,52.41,4.267
"Information Sciences",1635,142,614,2313,25774,12068,2274,5.08,41.98,4.305
"Journal of Strategic Information Systems",1707,72,26,68,2080,248,52,4.39,80,4.313
"IEEE Journal on Selected Topics in Signal Processing",1331,83,108,357,4982,2465,334,5.11,46.13,4.361
"Mechanical Systems and Signal Processing",1805,121,532,960,18613,4720,936,4.94,34.99,4.37
"ACM Transactions on Graphics",1344,168,248,529,11335,3377,522,6.43,45.71,4.384
"Knowledge-Based Systems",1378,82,385,1046,17767,5284,1035,4.81,46.15,4.396
"IEEE Transactions on Services Computing",870,48,124,221,2903,1094,207,4.99,23.41,4.418
"IEEE Transactions on Vehicular Technology",750,136,1073,1828,31880,8500,1816,4.54,29.71,4.432
"Computer Methods in Applied Mechanics and Engineering",2883,162,492,1049,24462,4968,1040,4.64,49.72,4.441
"International Journal of Information Management",1373,82,101,283,5646,1566,267,5.58,55.9,4.516
"Journal of Environmental Informatics",1483,24,24,72,1248,278,72,4.5,52,4.521
"Journal of Information Technology",1752,66,30,89,2141,333,68,5.09,71.37,4.535
"International Journal of Neural Systems",1297,50,50,142,2735,726,136,5.03,54.7,4.58
"IEEE Transactions on Affective Computing",1130,40,88,106,2438,678,99,5.98,27.7,4.585
"Journal of Operations Management",5739,158,19,139,1403,843,128,5.16,73.84,4.899
"IEEE Geoscience and Remote Sensing Magazine",1742,13,36,91,1461,375,91,4.44,40.58,4.932
"IEEE Transactions on Automatic Control",3433,245,800,1212,19661,7118,1205,5.35,24.58,5.007
"Soft Robotics",2504,17,29,82,1076,575,61,6.14,37.1,5.057
"IEEE Transactions on Image Processing",1374,227,495,1351,22497,9047,1341,6.27,45.45,5.071
"Scientific data",3026,26,205,252,6719,1514,236,5.94,32.78,5.305
"Medical Image Analysis",1928,105,148,335,8378,1883,293,6.5,56.61,5.356
"Journal of Chemical Theory and Computation",2497,132,566,1696,41230,8851,1658,5.39,72.84,5.399
"IEEE Transactions on Industrial Informatics",1599,85,472,624,10664,5170,618,6.13,22.59,5.43
"Computer-Aided Civil and Infrastructure Engineering",1154,61,64,188,3221,929,175,5.37,50.33,5.475
"Bioinformatics",6140,318,726,2360,17150,18335,2313,5.48,23.62,5.481
"ACM Computing Surveys",1631,127,101,230,13666,2617,229,9.27,135.31,5.55
"mSystems",3233,11,80,64,4678,327,60,5.45,58.48,5.75
"IEEE Transactions on Information Forensics and Security",1274,85,243,584,9346,4161,580,7.42,38.46,5.824
"Internet and Higher Education",3347,66,29,105,1719,666,102,6.74,59.28,5.847
"IEEE Internet of Things Journal",1341,31,324,245,8469,2529,234,7.14,26.14,5.863
"IEEE Transactions on Wireless Communications",1246,177,599,1725,21870,11013,1720,6.11,36.51,5.888
"ISPRS Journal of Photogrammetry and Remote Sensing",3169,99,210,535,10996,4093,522,6.68,52.36,5.994
"Journal of Supply Chain Management",5015,71,21,67,1676,470,63,6.1,79.81,6.105
"IEEE Transactions on Medical Imaging",1895,187,251,645,9162,4207,629,7.22,36.5,6.131
"Briefings in Bioinformatics",2505,83,103,218,5318,1018,210,4.9,51.63,6.302
"Archives of Computational Methods in Engineering",1410,47,72,58,4828,305,57,5.14,67.06,6.605
"IEEE Computational Intelligence Magazine",1296,44,37,123,1159,478,78,6.02,31.32,6.611
"Information Fusion",1832,72,77,251,4750,1797,227,7.91,61.69,6.639
"Journal of Service Research",5247,97,29,91,1922,709,87,7.12,66.28,6.842
"IEEE Transactions on Industrial Electronics",2192,217,1112,2250,30512,20179,2238,8.44,27.44,7.05
"IEEE Journal on Selected Areas in Communications",1741,207,214,721,8456,6677,695,7.76,39.51,7.172
"IEEE Network",1505,106,91,231,1240,1806,207,8.72,13.63,7.197
"Neural Networks",2359,121,156,424,7730,3184,417,8.45,49.55,7.197
"GigaScience",5022,24,123,150,5217,1012,122,8.27,42.41,7.267
"IEEE Transactions on Smart Grid",2854,102,525,920,10106,8112,900,7.79,19.25,7.364
"IEEE Signal Processing Magazine",1747,146,99,292,3026,2310,238,7.16,30.57,7.451
"IEEE Transactions on Cloud Computing",1038,25,88,107,1749,644,102,5.36,19.88,7.928
"IEEE Transactions on Neural Networks and Learning Systems",3406,169,507,703,11108,6271,693,8.54,21.91,7.982
"IEEE Transactions on Evolutionary Computation",3493,145,96,183,2740,2173,180,10.18,28.54,8.124
"IEEE Transactions on Fuzzy Systems",4024,163,259,454,5986,4348,452,8.59,23.11,8.415
"Molecular Systems Biology",8504,123,63,186,3816,1446,168,7.51,60.57,8.5
"IEEE Transactions on Cybernetics",3274,60,532,781,16918,7010,750,9.05,31.8,8.803
"npj Computational Materials",3826,10,54,36,3246,313,35,8.94,60.11,8.941
"IEEE Wireless Communications",1878,129,111,325,1436,2995,299,9.1,12.94,9.202
"npj Quantum Information",3604,9,22,10,996,66,9,7.33,45.27,9.206
"IEEE Communications Magazine",2297,199,386,1039,4561,11371,878,9.73,11.82,9.27
"IEEE Transactions on Pattern Analysis and Machine Intelligence",2367,305,323,583,9478,7351,575,11.38,29.34,9.455
"International Journal of Computer Vision",2301,165,111,269,5633,3263,249,13.74,50.75,11.541
"Physics of Life Reviews",2788,48,108,404,3048,493,37,14.3,28.22,13.783
"Journal of Statistical Software",13802,103,84,262,3403,4244,262,19.99,40.51,22.737
